OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,REGION,OS_ID,GDB_GEOMATTR_DATA
77,Edgerly Road Playground,City of Boston,A97,3,Fenway/Longwood,0.12319958,6 Edgerly Road,Special District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 3,099,
78,Commonwealth Avenue Mall II,City of Boston,A97/LWCF,1,Fenway/Longwood,0.97100607,"Commonwealth Ave btwn Charlesgate West & Kenmore St, nr Kenmore T Station",Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Commonwealth Ave Mall (west of Charlesgate),BPRD,PARK_Maintenance_Region 1,063,
79,Stony Brook Sewer Easement,Private,Sewer Easement,1,Fenway/Longwood,0.31277237, ,Residential District,"Malls, Squares & Plazas",NULL,Private,N,X,Forsyth School Path,BWSC,INFO_Reallocation From Dept,7015,
80,Gallops Island,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Harbor Islands,25.09617342, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3007,
81,Lovells Island,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Harbor Islands,60.96033399, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3008,
82,Georges Island,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Harbor Islands,40.45544066, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3009,
83,Thompson Island,Private,A97/CR,2,Harbor Islands,169.88699023,"Boston Harbor, west of Harbor Point, Dorchester",Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR/NPS,Private,X,L, , ,INFO_Reallocation From Dept,7016,
84,Connell Fields/Hickey Courts,Commonwealth of Massachusetts,A97,3,Hyde Park,16.78363393, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X,Smith Pond Playground, ,INFO_Reallocation From Dept,3017,
85,Weider Park,Commonwealth of Massachusetts,A97,3,Hyde Park,6.88373071, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X,Sherrin&Dale St., ,INFO_Reallocation From Dept,3018,
86,Monterey Hilltop I,City of Boston,A97,6,Hyde Park,6.67237544, ,Residential District,Urban Wilds,BCC,BPRD,X,X,Beechmont Footpath,BCC,PARK_Maintenance_Region 4,1002,
