School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Fall River - B M C Durfee High,950505,"2,211",54.0,2.4,2.5,2.3,2.0,2.9,2015-16
Fall River - Fall River Gateway to College @ BCC,950515,30,6.0,20.0,,14.3,25.0,10.0,2015-16
Fall River - Resiliency Preparatory School,950325,160,75.0,46.9,41.2,45.8,48.7,53.6,2015-16
Falmouth - Falmouth High,960505,862,18.0,2.1,0.4,4.8,0.9,2.3,2015-16
Fitchburg - Fitchburg High,970505,"1,205",22.0,1.8,1.0,0.9,2.6,2.9,2015-16
Fitchburg - Goodrich Academy,970510,166,37.0,22.3,37.5,50.0,25.5,14.3,2015-16
Four Rivers Charter Public (District) - Four Rivers Charter Public School,4130505,144,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Foxborough - Foxborough High,990505,843,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Foxborough Regional Charter (District) - Foxborough Regional Charter School,4460550,269,1.0,0.4,0.0,0.0,1.6,0.0,2015-16
Framingham - Framingham High School,1000515,"2,074",31.0,1.5,2.0,1.6,1.1,1.2,2015-16
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,4780505,266,1.0,0.4,0.0,0.0,1.4,0.0,2015-16
Franklin - Franklin High,1010505,"1,723",6.0,0.3,0.2,0.6,0.2,0.2,2015-16
Franklin County Regional Vocational Technical - Franklin County Technical,8180605,507,10.0,2.0,0.0,1.6,2.5,4.0,2015-16
Freetown-Lakeville - Apponequet Regional High,6650505,747,2.0,0.3,0.0,0.5,0.0,0.5,2015-16
Frontier - Frontier Regional,6700505,377,2.0,0.5,0.0,1.1,0.0,1.0,2015-16
Gardner - Gardner Academy for Learning and Technology,1030515,77,16.0,20.8,16.7,8.3,36.8,22.7,2015-16
Gardner - Gardner High,1030505,542,4.0,0.7,0.0,2.1,0.8,0.0,2015-16
Gateway - Gateway Regional High,6720505,233,2.0,0.9,1.4,0.0,1.7,0.0,2015-16
Georgetown - Georgetown High School,1050505,399,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Gill-Montague - Turners Fall High,6740505,232,13.0,5.6,3.3,5.3,3.3,11.1,2015-16
Global Learning Charter Public (District) - Global Learning Charter Public School,4960305,169,3.0,1.8,2.0,0.0,0.0,8.3,2015-16
Gloucester - Gloucester High,1070505,862,18.0,2.1,0.8,1.8,3.1,2.9,2015-16
Grafton - Grafton High School,1100505,831,7.0,0.8,0.4,1.5,1.1,0.5,2015-16
Granby - Granby Jr Sr High School,1110505,267,2.0,0.7,2.0,0.0,0.0,1.4,2015-16
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,8210605,"1,407",5.0,0.4,0.0,0.3,0.0,1.2,2015-16
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,8230605,"1,405",14.0,1.0,0.0,1.4,1.2,1.6,2015-16
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,8280605,"2,088",8.0,0.4,0.4,0.0,0.6,0.6,2015-16
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,8250605,"2,170",41.0,1.9,0.2,1.8,2.6,3.1,2015-16
Greenfield - Greenfield High,1140505,354,5.0,1.4,1.1,3.5,1.0,0.0,2015-16
Groton-Dunstable - Groton Dunstable Regional,6730505,837,1.0,0.1,0.0,0.0,0.5,0.0,2015-16
Hadley - Hopkins Academy,1170505,180,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Hamilton-Wenham - Hamilton-Wenham Regional High,6750505,608,2.0,0.3,0.0,0.7,0.0,0.6,2015-16
Hampden Charter School of Science (District) - Hampden Charter School of Science,4990305,183,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Hampden-Wilbraham - Minnechaug Regional High,6800505,"1,167",6.0,0.5,0.0,0.4,1.0,0.7,2015-16
Hampshire - Hampshire Regional High,6830505,467,1.0,0.2,1.0,0.0,0.0,0.0,2015-16
Hanover - Hanover High,1220505,804,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Harvard - Bromfield,1250505,416,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Hatfield - Smith Academy,1270505,120,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Haverhill - Haverhill Alternative School,1280033,31,6.0,19.4,10.0,0.0,,37.5,2015-16
Haverhill - Haverhill High,1280505,"1,782",78.0,4.4,4.4,4.2,4.7,4.1,2015-16
Haverhill - TEACH,1280073,8,1.0,12.5,,,,16.7,2015-16
Hingham - Hingham High,1310505,"1,190",4.0,0.3,0.0,0.6,0.0,0.7,2015-16
Holbrook - Holbrook Jr Sr High,1330505,259,11.0,4.2,3.4,3.0,6.5,4.2,2015-16
Holliston - Holliston High,1360505,806,3.0,0.4,0.0,0.0,0.0,1.4,2015-16
Holyoke - Holyoke High,1370505,"1,274",64.0,5.0,6.6,6.1,1.9,4.7,2015-16
Holyoke - Wm J Dean Vocational Technical High,1370605,360,24.0,6.7,5.3,3.1,4.9,16.4,2015-16
Hopedale - Hopedale Jr Sr High,1380505,344,1.0,0.3,0.0,1.1,0.0,0.0,2015-16
Hopkinton - Hopkinton High,1390505,"1,109",1.0,0.1,0.0,0.0,0.0,0.3,2015-16
Hudson - Hudson High,1410505,753,13.0,1.7,1.4,1.0,2.5,2.1,2015-16
Hull - Hull High,1420505,324,5.0,1.5,0.0,0.0,0.0,5.5,2015-16
Innovation Academy Charter (District) - Innovation Academy Charter School,4350305,387,2.0,0.5,0.0,1.0,1.1,0.0,2015-16
Ipswich - Ipswich High,1440505,533,1.0,0.2,0.0,0.0,0.6,0.0,2015-16
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,4290010,427,11.0,2.6,0.8,2.5,1.0,7.9,2015-16
King Philip - King Philip Regional High,6900505,"1,322",4.0,0.3,0.3,0.0,0.6,0.3,2015-16
Lawrence - Business Management & Finance High School,1490530,409,10.0,2.4,0.0,4.4,3.2,0.0,2015-16
Lawrence - Health & Human Services High School,1490531,435,11.0,2.5,11.4,3.4,0.8,0.8,2015-16
Lawrence - High School Learning Center,1490536,146,24.0,16.4,,16.7,16.0,12.5,2015-16
Lawrence - Humanities & Leadership Development High School,1490532,425,7.0,1.6,10.7,1.5,0.8,0.8,2015-16
Lawrence - International High School,1490534,224,24.0,10.7,12.5,8.8,13.1,11.5,2015-16
Lawrence - Lawrence High School,1490515,753,2.0,0.3,0.3,,,,2015-16
"Lawrence - Math, Science & Technology High School",1490533,435,5.0,1.1,3.4,2.0,0.0,0.9,2015-16
Lawrence - Performing & Fine Arts High School,1490535,412,5.0,1.2,12.5,2.8,0.0,0.0,2015-16
Lawrence - Phoenix Academy Lawrence,1490540,114,43.0,37.7,21.7,,23.1,0.0,2015-16
Lawrence - School for Exceptional Studies,1490537,86,7.0,8.1,0.0,17.4,13.6,0.0,2015-16
Lee - Lee Middle/High School,1500505,236,5.0,2.1,3.1,4.1,1.6,0.0,2015-16
Leicester - Leicester High,1510505,433,4.0,0.9,0.0,0.8,2.1,0.9,2015-16
Lenox - Lenox Memorial High,1520505,214,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Leominster - Leominster Center for Excellence,1530515,32,1.0,3.1,0.0,0.0,0.0,9.1,2015-16
Leominster - Leominster High School,1530505,"1,771",15.0,0.8,0.2,1.0,0.2,2.1,2015-16
Lexington - Lexington High,1550505,"2,154",4.0,0.2,0.0,0.2,0.2,0.4,2015-16
Lincoln-Sudbury - Lincoln-Sudbury Regional High,6950505,"1,600",1.0,0.1,0.0,0.0,0.2,0.0,2015-16
Littleton - Littleton High School,1580505,448,1.0,0.2,0.0,0.0,0.0,0.9,2015-16
Longmeadow - Longmeadow High,1590505,957,1.0,0.1,0.0,0.4,0.0,0.0,2015-16
Lowell - Leblanc Therapeutic Day School,1600320,27,1.0,3.7,0.0,16.7,0.0,0.0,2015-16
Lowell - Lowell High,1600505,"3,110",57.0,1.8,1.3,2.8,1.3,2.1,2015-16
Lowell Middlesex Academy Charter (District) - Lowell Middlesex Academy Charter School,4580505,95,20.0,21.1,22.7,18.8,37.9,3.6,2015-16
Ludlow - Ludlow Senior High,1610505,901,14.0,1.6,0.8,2.0,0.9,2.5,2015-16
Lunenburg - Lunenburg High,1620505,429,1.0,0.2,0.0,0.0,0.9,0.0,2015-16
Lynn - Classical High,1630505,"1,635",65.0,4.0,4.9,5.1,3.1,2.4,2015-16
Lynn - Fecteau-Leary Junior/Senior High School,1630525,180,28.0,15.6,10.3,36.4,20.0,5.0,2015-16
Lynn - Lynn English High,1630510,"1,646",100.0,6.1,6.8,8.8,5.4,2.3,2015-16
